id;url;time;user
687;https://youtube.com/;626240481;Pirlo
263;https://javacorejune.slack.com/;543230731;DelPiero
835;https://github.com/;945053557;Trezeguet
860;https://javacorejune.slack.com/;274038009;Ronaldo
282;https://stevenwilson.com/;70743557;Marchisio
177;https://stackoverflow.com/;604834110;Cannovaro
924;https://youtube.com/;625002009;Trezeguet
614;https://javacorejune.slack.com/;162298577;Messi
964;https://porcupinetree.com/;275329962;Zidane
677;https://juventus.com/;861127474;Trezeguet
